Key,en,es,ar,fr
sign Up Details,"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","Convierta en parte de nuestra comunidad registrándose para una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, proporcionando una experiencia perfecta y fácil de usar.",كن جزءًا من مجتمعنا من خلال التسجيل لحساب اليوم. استمتع بمجموعة من الفوائد والميزات المصممة لتلبية احتياجاتك. تجعل صفحة التسجيل الخاصة بنا من السهل إنشاء حسابك ، مما يوفر تجربة سلسة وسهلة الاستخدام.,"Faites partie de notre communauté en s'inscrivant pour un compte aujourd'hui. Profitez d'une gamme d'avantages et de fonctionnalités adaptées pour répondre à vos besoins. Notre page d'inscription facilite la création de votre compte, offrant une expérience transparente et conviviale."
agreed With,with Terms Of Use & Privacy Policy,con términos de uso y política de privacidad,مع شروط الاستخدام وسياسة الخصوصية,avec des conditions d'utilisation et une politique de confidentialité
agree,I have agreed,He acordado,لقد وافقت,J'ai accepté
enter Name,Enter Name,Ingrese su nombre,أدخل الاسم,Entrez le nom
image Path Required,Image path is required,Se requiere ruta de imagen,مسار الصورة مطلوب,Le chemin d'image est requis
your Account Have Been Created,"Your account has been create Successfully, Welcome to stripcard.","Su cuenta ha sido creada con éxito, bienvenido a Stripcard.",تم إنشاء حسابك بنجاح ، مرحبًا بك في StripCard.,"Votre compte a été créé avec succès, bienvenue sur StripCard."
view All,View All,Ver todo,عرض الكل,Voir tout
tentwentytwo,10/22,22/10,10/22,10/22
expiry Date,Expiry Date,Fecha de caducidad,تاريخ الانتهاء,Date d'expiration
freeze Card,Freeze Card,Tarjeta congelada,بطاقة تجميد,Congeoir
availabe Blance,Availabe Balance,Balance de disponibilidad,توازن توافر,Solde disponible
cvc,CVV / CVC,CVV / CVC,CVV / CVC,CVV / CVC
proceed,Proceed,Proceder,يتابع,Procéder
deposit,Deposit,Depósito,إيداع,Dépôt
zero00,0,0,0,0
deposit Method,Deposit Method,Método de depósito,طريقة الإيداع,Méthode de dépôt
entered Amount,Entered Amount,Cantidad ingresada,تم إدخال المبلغ,Montant entré
enter Select City,Enter City,Entrar en la ciudad,أدخل المدينة,Entrer dans la ville
enter First Name,Enter First Name,Ingrese el nombre,أدخل الاسم الأول,Entrez votre prénom
enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر,Entrer le nom de famille
select City,City,Ciudad,مدينة,Ville
enter,Enter,Ingresar,يدخل,Entrer
enter Old Password,Enter Old Password,Ingrese la contraseña antigua,أدخل كلمة المرور القديمة,Entrez l'ancien mot de passe
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة,Entrez un nouveau mot de passe
help Center,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
reset Password Details,Reset your password to get back access your dashboard again.,Restablezca su contraseña para volver a acceder a su tablero nuevamente.,أعد تعيين كلمة المرور الخاصة بك للحصول على العودة إلى لوحة القيادة مرة أخرى.,Réinitialisez votre mot de passe pour récupérer à nouveau l'accès à votre tableau de bord.
your Password Has Been,"Your password has been reset Successfully, Sign in again now.","Su contraseña se ha restablecido correctamente, inicie sesión nuevamente ahora.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول مرة أخرى الآن.,"Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant."
opps,Opss!!,OPSS !!,OPSS !!,OPSS !!
kyc Success Message,Your Kyc has been Submited Successfully,Tu KYC ha sido enviado con éxito,تم وضع KYC الخاص بك بنجاح,Votre KYC a été soumis avec succès
notification,Notification,Notificación,إشعار,Notification
withdraw,Withdraw,Retirar,ينسحب,Retirer
preview,Preview,Avance,معاينة,Aperçu
amount Information,Amount Information,Cantidad de información,معلومات المبلغ,Montant des informations
transfer Fee,Transfer Fee:,Tarifa de transferencia:,رسوم التحويل:,Frais de transfert:
transfer Fees,Transfer Fee,Tarifa de transferencia,رسوم التحويل,Frais de transfert
recipient Received,Recipient Received,Receptor recibido,تلقى المستلم,Receveur reçu
total Payable,Total Payable,Total a pagar,إجمالي الدفع,Total à payer
confirm Send,Confirm Send,Confirmar enviar,تأكيد إرسال,Confirmer Envoyer
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using,Su dinero se ha retirado con éxito. Gracias por usar,لقد تم سحب أموالك بنجاح. شكرا لاستخدام,Votre argent a été retiré avec succès. Merci d'avoir utilisé
transaction History,Transaction History,Historial de transacciones,تاريخ المعاملة,Historique des transactions
current Amount,Current Amount,Cantidad actual,القيمة الحالية,Montant actuel
card Information,Card Information,Información de la tarjeta,معلومات البطاقة,Informations sur la carte
yes,Yes,Sí,نعم,Oui
no,no,No,لا,Non
your Money Added Succes,Your money has been deposit Successfully. Thanks for using,Su dinero se ha depositado con éxito. Gracias por usar,لقد تم إيداع أموالك بنجاح. شكرا لاستخدام,Votre argent a été déposé avec succès. Merci d'avoir utilisé
your Card Success,"Your card has been create Successfully, Thanks for using .","Su tarjeta ha sido creada con éxito, gracias por usar.",لقد تم إنشاء بطاقتك بنجاح ، شكرًا لاستخدامها.,"Votre carte a été créée avec succès, merci pour l'utilisation."
add Money Successfully,"Your fund has been add Successfully,Thanks for using","Su fondo ha sido agregado con éxito, gracias por usar",تم إضافة صندوقك بنجاح ، شكرًا على استخدامه,"Votre fonds a été ajouté avec succès, merci pour l'utilisation"
plz Enter Amount,Please enter amount,Ingrese la cantidad,الرجاء إدخال المبلغ,Veuillez saisir le montant
no Record Found,No Record Found!,¡Ningún record fue encontrado!,لا يوجد سجلات!,Aucun Enregistrement Trouvé!
pending,Pending,Pendiente,قيد الانتظار,En attente
Verified,Verified,Verificado,تم التحقق,Vérifié
total Fee,Total Fee,Costo total,مجموع الرسوم,Montant total
you Don Not Buy Card,"You didnt purchase any card yet, Please purchase a new card","Aún no compró ninguna tarjeta, compre una nueva tarjeta.",لم تشتري أي بطاقة بعد ، يرجى شراء بطاقة جديدة,"Vous n'avez pas encore acheté de carte, veuillez acheter une nouvelle carte"
currency,Currency,Divisa,عملة,Devise
brand,Brand,Marca,ماركة,Marque
remove Default,Remove Default,Eliminar predeterminado,إزالة الافتراضي,Supprimer par défaut
virtual,Virtual Card,Tarjeta virtual,بطاقة افتراضية,Carte virtuelle
reveal Details,Reveal Details,Revelar detalles,الكشف عن التفاصيل,Révéler des détails
you Can Use Virtual Card Instantly,You can use virtual cards instantly.,Puedes usar tarjetas virtuales al instante.,يمكنك استخدام البطاقات الافتراضية على الفور.,Vous pouvez utiliser des cartes virtuelles instantanément.
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال,Transfert d'argent
please Fill The Amount,Please fill the amount,Por favor llene la cantidad,يرجى ملء المبلغ,Veuillez remplir le montant
please Follow The Limit,Please! Follow the Limit.,¡Por favor! Sigue el límite.,لو سمحت! اتبع الحد.,S'il te plaît! Suivez la limite.
receiver Email,Receiver Email,Correo electrónico del receptor,البريد الإلكتروني المتلقي,E-mail du récepteur
screenshot,Screenshot,Captura de pantalla,لقطة شاشة,Capture d'écran
enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del receptor,أدخل عنوان البريد الإلكتروني للمستقبل,Entrez l'adresse e-mail du récepteur
transfer Success Text,"Your money has been transfer Successfully, Thanks for using StripCard.","Su dinero ha sido transferido con éxito, gracias por usar StripCard.",تم تحويل أموالك بنجاح ، شكرًا لاستخدام البطاقة.,"Votre argent a été transféré avec succès, merci d'utiliser StripCard."
success Snack,Success,Éxito,نجاح,Succès
dismiss,Dismiss,Despedir,رفض,Rejeter
transfer Money,Transfer Money,Transferir dinero,تحويل أموال,Transférer de l'argent
add Subtract Balance,Add Subtract Balance,Agregar balance de restos,أضف توازن طرح,Ajouter un solde de soustraire
visa,VISA,VISA,تأشيرة,VISA
my Wallet,My Wallet,Mi billetera,محفظتى,Mon portefeuille
evidence Note,Evidence Note,Nota de evidencia,ملاحظة الأدلة,Note de preuve
razorpay Payment,Razorpay Payment,Pago de Razorpay,دفعة Razorpay,Paiement Razorpay
flutterwave Payment,Flutterwave Payment,Pago de FlutterWave,مدفوعات الرفرفة,Paiement Flutterwave
sslcommerz Payment,Sslcommerz Payment,Pago de sslcommerz,دفع SSLCommerz,Paiement SSLCommerz
new Password,New Password,Nueva contraseña,كلمة المرور الجديدة,nouveau mot de passe
confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
first Name,First Name,Nombre de pila,الاسم الأول,Prénom
last Name,Last Name,Apellido,اسم العائلة,Nom de famille
make Default,Make Default,Hacer por defecto,جعل الافتراضي,Faire défaut
qrpay Payment,Qrpay Payment,Pago de QRPAY,دفع QRPay,Paiement QRPAY
change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue
Login Successful,Login Successful,Inicio de sesión correcto,تسجيل الدخول ناجح,Connexion réussie
User doesn't exists,User doesn't exists,El usuario no existe,المستخدم لا يوجد,L'utilisateur n'existe pas
Account Has been Suspended,Account Has been Suspended,Cuenta ha sido suspendida,تم تعليق حسابك,Le compte a été suspendu
Incorrect Password,Incorrect Password,Contraseña incorrecta,كلمة سر خاطئة,Mot de passe incorrect
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Inténtalo de nuevo,هناك خطأ ما! حاول مرة اخرى,Quelque chose s'est mal passé! Veuillez réessayer
Registration Successful,Registration Successful,Registro exitoso,التسجيل ناجح,Inscription réussi
Logout Successful,Logout Successful,INCOMPTIR SEXITO,تسجيل الخروج ناجح,Déconnexion réussie
Verification code sent to your email address,Verification code sent to your email address,Código de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Code de vérification envoyé à votre adresse e-mail
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من OTP غير صالح,Vérification OTP n'est pas valide
"Your verification is successful, Now you can recover your password","Your verification is successful, Now you can recover your password","Su verificación es exitosa, ahora puede recuperar su contraseña",إن التحقق الخاص بك ناجح ، والآن يمكنك استعادة كلمة المرور الخاصة بك,"Votre vérification est réussie, vous pouvez maintenant récupérer votre mot de passe"
invalid request,invalid request,Solicitud no válida,طلب غير صالح,requête invalide
Add Money Information!,Add Money Information!,¡Agrega información de dinero!,أضف معلومات المال!,Ajouter des informations d'argent!
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione alias de divisas de pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع,Les informations sur la passerelle ne sont pas disponibles. Veuillez fournir un alias de monnaie de passerelle de paiement
User wallet not found,User wallet not found,Billetera del usuario no encontrada,لم يتم العثور على محفظة المستخدم,Portefeuille d'utilisateur introuvable
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacción,يرجى اتباع حد المعاملة,Veuillez suivre la limite de transaction
Add Money Inserted Successfully,Add Money Inserted Successfully,Agregar dinero insertado con éxito,أضف أموالًا تم إدخالها بنجاح,Ajouter de l'argent inséré avec succès
Transaction failed. Record didn\'t saved properly. Please try again,Transaction failed. Record didn\'t saved properly. Please try again,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo,فشل الاجراء. سجل لم يتم حفظه بشكل صحيح. حاول مرة اخرى,La transaction a échoué. Enregistrement n'a pas été enregistré correctement. Veuillez réessayer
"Payment successful, please go back your app","Payment successful, please go back your app","Pago exitoso, vuelva a su aplicación",الدفع ناجحًا ، يرجى العودة إلى تطبيقك,"Paiement réussi, veuillez revenir en arrière votre application"
"Payment Cancelled,please go back your app","Payment Cancelled,please go back your app","Pago cancelado, vuelva a su aplicación",تم إلغاء الدفع ، يرجى العودة إلى تطبيقك,"Paiement annulé, veuillez revenir à votre application"
"Payment Failed,please go back your app","Payment Failed,please go back your app","El pago falló, por favor regrese su aplicación",فشل الدفع ، يرجى العودة إلى تطبيقك,"Le paiement a échoué, veuillez revenir à votre application"
Request user doesn\'t save properly. Please try again,Request user doesn\'t save properly. Please try again,Solicitar el usuario no guarda correctamente. Inténtalo de nuevo,طلب المستخدم لا يحفظ بشكل صحيح. حاول مرة اخرى,Demandez à l'utilisateur ne sauvera pas correctement. Veuillez réessayer
You can resend verification code after,You can resend verification code after,Puede reenviar el código de verificación después de,يمكنك إعادة تقديم رمز التحقق بعد,Vous pouvez renvoyer le code de vérification après
Verification code send success,Verification code send success,Código de verificación Enviar éxito,رمز التحقق أرسل النجاح,Code de vérification Envoyer un succès
Verification code does not match,Verification code does not match,El código de verificación no coincide,رمز التحقق لا يتطابق,Le code de vérification ne correspond pas
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. حاول مرة اخرى,La session a expiré. Veuillez réessayer
Account successfully verified,You are already KYC Verified User,#REF!,#REF!,Vous êtes déjà KYC vérifié l'utilisateur
You are already KYC Verified User,,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC,#VALUE!
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Se envía su información de KYC. Espere la confirmación del administrador,يتم تقديم معلومات KYC الخاصة بك. يرجى انتظار تأكيد المسؤول,Vos informations KYC sont soumises. Veuillez attendre la confirmation de l'administration
User KYC section is under maintenance,User KYC section is under maintenance,La sección de usuarios de KYC está en mantenimiento,قسم المستخدم KYC قيد الصيانة,La section KYC utilisateur est sous maintenance
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡El usuario KYC Input Fields obtiene con éxito!,حقول إدخال المستخدم KYC يجلبون بنجاح!,Les champs d'entrée de l'utilisateur KYC récupérent avec succès!
Virtual Card Stripe,Virtual Card Stripe,Franja de tarjeta virtual,شريط البطاقة الافتراضية,Stripe de carte virtuelle
"Sorry, card not found!","Sorry, card not found!","Lo siento, ¡la tarjeta no se encuentra!",آسف ، البطاقة لم يتم العثور عليها!,"Désolé, carte introuvable!"
Virtual Card Details,Virtual Card Details,Detalles de la tarjeta virtual,تفاصيل البطاقة الافتراضية,Détails de la carte virtuelle
Virtual Card Transactions,Virtual Card Transactions,Transacciones de tarjetas virtuales,معاملات البطاقة الافتراضية,Transactions de cartes virtuelles
Something Is Wrong In Your Card,Something Is Wrong In Your Card,Algo anda mal en tu tarjeta,هناك خطأ ما في بطاقتك,Quelque chose ne va pas dans votre carte
Virtual Card Sensitive Data,Virtual Card Sensitive Data,Datos sensibles a la tarjeta virtual,بيانات حساسة البطاقة الافتراضية,Données sensibles à la carte virtuelle
"Sorry,This Card Is Already Inactive","Sorry,This Card Is Already Inactive","Lo siento, esta tarjeta ya está inactiva",آسف ، هذه البطاقة غير نشطة بالفعل,"Désolé, cette carte est déjà inactive"
Card Inactive Successfully!,Card Inactive Successfully!,¡Tarjeta inactiva con éxito!,بطاقة غير نشطة بنجاح!,Carte inactive avec succès!
Card Active Successfully!,Card Active Successfully!,Tarjeta activa con éxito!,بطاقة نشطة بنجاح!,Carte active avec succès!
Please submit kyc information!,Please submit kyc information!,¡Envíe información de KYC!,يرجى تقديم معلومات KYC!,Veuillez soumettre des informations KYC!
Please wait before admin approved your kyc information,Please wait before admin approved your kyc information,Espere antes de que el administrador aprobara su información de KYC,يرجى الانتظار قبل موافقة المسؤول على معلومات KYC الخاصة بك,Veuillez patienter avant que l'administrateur n'approuve vos informations KYC
"Admin rejected your kyc information, Please re-submit again","Admin rejected your kyc information, Please re-submit again","Admin rechazó su información de KYC, vuelva a suponer nuevamente",رفض المسؤول معلومات KYC الخاصة بك ، يرجى إعادة تقديم مرة أخرى,"L'administrateur a rejeté vos informations KYC, veuillez vous soumettre à nouveau"
Default Currency Not Setup Yet,Default Currency Not Setup Yet,Moneda predeterminada aún no está configurada,العملة الافتراضية لم يتم إعدادها بعد,Devise par défaut ne configure pas encore
"Sorry, insufficient balance","Sorry, insufficient balance","Lo siento, equilibrio insuficiente",آسف ، توازن غير كاف,"Désolé, un équilibre insuffisant"
Card Buy Successfully,Card Buy Successfully,Tarjeta Comprar con éxito,شراء البطاقة بنجاح,Carte Acheter avec succès
Virtual Card Sudo,Virtual Card Sudo,Tarjeta virtual sudo,بطاقة افتراضية سودو,Carte virtuelle sudo
Fess & Charges,Fess & Charges,Fess y cargos,FESS & رسوم,Fesse et charges
Status Updated Successfully,Status Updated Successfully,Estado actualizado correctamente,تم تحديث الحالة بنجاح,Statut mis à jour avec succès
"Currency doesn't supported for creating virtual card, Please contact","Currency doesn't supported for creating virtual card, Please contact","La moneda no es compatible con la creación de una tarjeta virtual, comuníquese con",العملة لا تدعم لإنشاء بطاقة افتراضية ، يرجى الاتصال,"La devise n'est pas prise en charge pour créer une carte virtuelle, veuillez contacter"
"Haven't any debit account this currency, Please contact with owner","Haven't any debit account this currency, Please contact with owner","No hay ninguna cuenta de débito en esta moneda, comuníquese con el propietario",لا يمكنك أي حساب الخصم هذه العملة ، يرجى الاتصال بمالك,"Pas de compte de débit cette devise, veuillez contacter avec le propriétaire"
"Customer doesn't created properly,Contact with owner","Customer doesn't created properly,Contact with owner","El cliente no creó correctamente, contacte con el propietario",لا يتم إنشاء العميل بشكل صحيح ، اتصل بالمالك,"Le client n'est pas créé correctement, contact avec le propriétaire"
Virtual Card Flutterwave,Virtual Card Flutterwave,Tarjeta virtual Flutterwave,بطاقة الافتراضية flutterwave,Carte virtuelle Flutterwave
Card block successfully!,Card block successfully!,¡Bloqueo de tarjetas con éxito!,كتلة البطاقة بنجاح!,Bloc de carte avec succès!
Card has been blocked previously,Card has been blocked previously,La tarjeta ha sido bloqueada anteriormente,تم حظر البطاقة من قبل,La carte a été bloquée précédemment
This Card has been terminated previously,This Card has been terminated previously,Esta tarjeta ha sido terminado anteriormente,تم إنهاء هذه البطاقة من قبل,Cette carte a été résiliée précédemment
Card unblock successfully!,Card unblock successfully!,¡Desbloqueo de la tarjeta con éxito!,بطاقة إلغاء الحظر بنجاح!,Carte débloquer avec succès!
Card has been unblocked previously, Card has been unblocked previously, La tarjeta ha sido desbloqueada anteriormente, لقد تم إلغاء حظر البطاقة من قبل, La carte a été débloquée précédemment
Card Funded Successfully,Card Funded Successfully,Tarjeta financiada con éxito,تم تمويل البطاقة بنجاح,Carte financée avec succès
Buy Card,Buy Card,Comprar tarjeta,شراء البطاقة,Carte d'achat
Buy card successful,Buy card successful,Comprar tarjeta exitosa,شراء بطاقة ناجحة,Acheter la carte réussie
Card Fund,Card Fund,Fondo,صندوق البطاقات,Fonds de carte
Card fund successful card:,Card fund successful card:,Tarjeta exitosa del fondo de la tarjeta:,بطاقة البطاقة الناجحة:,Carte Fonds Card réussie:
Transfer Money Information,Transfer Money Information,Transferir información sobre dinero,تحويل معلومات المال,Transférer des informations d'argent
User not found,User not found,Usuario no encontrado,لم يتم العثور على المستخدم,Utilisateur non trouvé
Can\'t transfer money to your own,Can\'t transfer money to your own,¿No puede transferir dinero a la suya?,لا يمكن تحويل الأموال إلى بنفسك,Ne peut pas transférer de l'argent à la vôtre
Valid user for transfer money,Valid user for transfer money,Usuario válido para el dinero de transferencia,مستخدم صالح لتحويل الأموال,Utilisateur valide pour le transfert d'argent
Sender wallet not found,Sender wallet not found,Billetera de remitente no encontrada,لم يتم العثور على محفظة المرسل,Portefeuille d'expéditeur introuvable
Receiver not exist,Receiver not exist,El receptor no existe,المتلقي غير موجود,Le récepteur n'existe pas
Receiver wallet not found,Receiver wallet not found,Billetera receptor no encontrada,لم يتم العثور على محفظة جهاز الاستقبال,Portefeuille récepteur introuvable
Transfer Money successful to,Transfer Money successful to,Transferir dinero exitoso a,تحويل الأموال الناجحة ل,Transférer de l'argent réussi à
Transfer Money to ,Transfer Money to ,Transferir dinero a,تحويل الأموال إلى,Transférer de l'argent à
Transfer Money from,Transfer Money from,Transferir dinero de,تحويل الأموال من,Transférer de l'argent de
User Dashboard,User Dashboard,Tablero de usuarios,لوحة معلومات المستخدم,Tableau de bord utilisateur
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم,Profil de l'utilisateur
Profile successfully updated!,Profile successfully updated!,Perfil actualizado con éxito!,تم تحديث الملف الشخصي بنجاح!,Profil a réussi à mettre à jour!
Current password didn\'t match,Current password didn\'t match,La contraseña actual no coincidía,كلمة المرور الحالية لم تطابق,Le mot de passe actuel ne correspondait pas
Password successfully updated!,Password successfully updated!,Contraseña actualizada correctamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe avec succès mis à jour!
User deleted successfully,User deleted successfully,Usuario eliminado con éxito,تم حذف المستخدم بنجاح,Utilisateur supprimé avec succès
All Transactions,All Transactions,Todas las transacciones,كل الحركات المالية,toutes transactions
Withdraw Information!,Withdraw Information!,¡Retirar información!,سحب المعلومات!,Retirer des informations!
Invalid Gateway!,Invalid Gateway!,Gateway no válido!,بوابة غير صالحة!,Passerelle non valide!
Withdraw Money Inserted Successfully,Withdraw Money Inserted Successfully,Retirar dinero insertado con éxito,سحب الأموال المدرجة بنجاح,Retirer de l'argent inséré avec succès
"Sorry, your payment information is invalid","Sorry, your payment information is invalid","Lo siento, su información de pago no es válida",آسف ، معلومات الدفع الخاصة بك غير صالحة,"Désolé, vos informations de paiement ne sont pas valides"
"Invalid request, it is not manual gateway request","Invalid request, it is not manual gateway request","Solicitud no válida, no es una solicitud de puerta de enlace manual",طلب غير صالح ، إنه ليس طلب بوابة يدوي,"Demande non valide, ce n'est pas une demande de passerelle manuelle"
Withdraw Money Request Send To Admin Successful,Withdraw Money Request Send To Admin Successful,Retirar la solicitud de dinero Enviar al administrador exitoso,سحب طلب المال إرسال إلى المسؤول ناجح,Retirer la demande d'argent envoyer à l'administrateur réussi
Your Withdraw Request Send To Admin,Your Withdraw Request Send To Admin,Su solicitud de retiro Enviar al administrador,طلب الانسحاب الخاص بك إرسال إلى المسؤول,Votre demande de retrait envoie à l'administrateur
Successful,Successful,Exitoso,ناجح,Réussi
Data fetched successfully,Data fetched successfully,Datos obtenidos con éxito,تم جلب البيانات بنجاح,Données récupérées avec succès
Language Data Fetch Successfully!,Language Data Fetch Successfully!,¡Los datos del idioma obtienen con éxito!,جلب بيانات اللغة بنجاح!,Les données linguistiques s'approchent avec succès!
Payment gateway not available,Payment gateway not available,Pasarela de pago no disponible,بوابة الدفع غير متوفرة,Passerelle de paiement non disponible
Your Wallet,Your Wallet,Tu billetera,محفظتك,Ton portefeuille
balance  has been added,balance  has been added,Se ha agregado el equilibrio,تمت إضافة التوازن,L'équilibre a été ajouté
Successfully added money,Successfully added money,Dinero agregado con éxito,أضافت الأموال بنجاح,Ajout de l'argent avec succès
Manual Payment Via,Manual Payment Via,Pago manual a través de,الدفع اليدوي عبر,Paiement manuel via
Add money cancelled,Add money cancelled,Agregar dinero cancelado,أضف المال الملغى,Ajouter de l'argent annulé
Transaction failed,Transaction failed,Transacción fallida,فشل الاجراء,La transaction a échoué
Your Payment Canceled Successfully,Your Payment Canceled Successfully,Su pago canceló con éxito,تم إلغاء دفعتك بنجاح,Votre paiement a annulé avec succès
Add Money request send to admin successfully,Add Money request send to admin successfully,Agregar solicitud de dinero Enviar al administrador correctamente,أضف طلب المال إرسال إلى المسؤول بنجاح,Ajouter une demande d'argent envoyer à l'administrateur avec succès
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Le jeton de réinitialisation du mot de passe expiré
Verify User,Verify User,Verificar el usuario,تحقق من المستخدم,Vérifier l'utilisateur
Request token is invalid,Request token is invalid,El token de solicitud no es válido,الرمز المميز غير صالح,Le jeton de demande n'est pas valide
Invalid Request. Please try again,Invalid Request. Please try again,Solicitud no válida. Inténtalo de nuevo,طلب غير صالح. حاول مرة اخرى,Requête invalide. Veuillez réessayer
Password reset success. Please login with new password,Password reset success. Please login with new password,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة,Réinitialisation du mot de passe Succès. Veuillez vous connecter avec un nouveau mot de passe
User Login,User Login,Inicio de sesión de usuario,تسجيل الدخول المستخدم,Utilisateur en ligne
Mail Authorization,Mail Authorization,Autorización de correo,ترخيص البريد,Autorisation de courrier
Verification  code resend success,Verification  code resend success,Código de verificación Resen el éxito,رمز التحقق من إعادة تقديم النجاح,Succès de renvoi du code de vérification
KYC information successfully submitted,KYC information successfully submitted,La información de KYC presentó con éxito,تم إرسال معلومات KYC بنجاح,KYC Information a soumis avec succès
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة,Ajouter un nouveau billet
Opps! Failed to upload attachment. Please try again.,Opps! Failed to upload attachment. Please try again.,¡Opps! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.,أوس! فشل في تحميل المرفق. حاول مرة اخرى.,OPPS! Impossible de télécharger la pièce jointe. Veuillez réessayer.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de apoyo creado con éxito!,تذكرة دعم تم إنشاؤها بنجاح!,Ticket de support créé avec succès!
Support Conversation,Support Conversation,Apoyar la conversación,دعم المحادثة,Soutenir la conversation
This support ticket is closed.,This support ticket is closed.,Este boleto de soporte está cerrado.,تذكرة الدعم هذه مغلقة.,Ce billet d'assistance est fermé.
SMS Sending faild! Please try again.,SMS Sending faild! Please try again.,¡SMS enviando fallas! Inténtalo de nuevo.,الرسائل القصيرة إرسال فشل! حاول مرة اخرى.,SMS Envoi Faild! Veuillez réessayer.
Withdraw Via,Withdraw Via,Retirarse a través de,انسحب عبر,Se retirer par
Cookie allow successfully,Cookie allow successfully,Cookie Permitir con éxito,ملف تعريف الارتباط يسمح بنجاح,Les cookies permettent avec succès
Cookie decline successfully,Cookie decline successfully,Declive de cookies con éxito,انخفاض ملف تعريف الارتباط بنجاح,Biscuits décliner avec succès
Can't change anything for demo application.,Can't change anything for demo application.,No puedo cambiar nada para la aplicación de demostración.,لا يمكن تغيير أي شيء للتطبيق التجريبي.,Ne peut rien changer pour l'application de démonstration.
"Sorry, You are unauthorized user","Sorry, You are unauthorized user","Lo siento, eres usuario no autorizado",آسف ، أنت مستخدم غير مصرح به,"Désolé, vous êtes un utilisateur non autorisé"
Please verify your KYC information before any transactional action,Please verify your KYC information before any transactional action,Verifique su información de KYC antes de cualquier acción transaccional,يرجى التحقق من معلومات KYC قبل أي إجراء معاملات,Veuillez vérifier vos informations KYC avant toute action transactionnelle
Your KYC information is pending. Please wait for admin confirmation.,Your KYC information is pending. Please wait for admin confirmation.,Su información de KYC está pendiente. Espere la confirmación del administrador.,معلوماتك KYC معلقة. يرجى انتظار تأكيد المسؤول.,Vos informations KYC sont en attente. Veuillez attendre la confirmation de l'administration.
Account Is Deactivated,Account Is Deactivated,La cuenta está desactivada,يتم إلغاء تنشيط الحساب,Le compte est désactivé
Email verification is required,Email verification is required,Se requiere verificación por correo electrónico,التحقق من البريد الإلكتروني مطلوب,La vérification par e-mail est requise
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Verifique su dirección de correo. Verifique su bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الخاص بك للحصول على رمز التحقق,Veuillez vérifier votre adresse courante. Vérifiez votre boîte de réception pour obtenir le code de vérification
Balance Update From Admin,Balance Update From Admin,Actualización de equilibrio desde Admin,تحديث الرصيد من المسؤول,Équilibrez la mise à jour de l'administrateur
Add Balance via,Add Balance via,Agregar balance a través de,أضف التوازن عبر,Ajouter un équilibre via
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة,Liens utiles
Allow,Allow,Permitir,يسمح,Permettre
