Key,en,es,ar,fr
sign Up Details,"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, brindando una experiencia fluida y fácil de usar.",كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك. تسهل صفحة التسجيل الخاصة بنا إنشاء حسابك، مما يوفر تجربة سلسة وسهلة الاستخدام.,"Devenez membre de notre communauté en créant un compte dès aujourd'hui. Bénéficiez d’une gamme d’avantages et de fonctionnalités adaptés à vos besoins. Notre page d'inscription facilite la création de votre compte, offrant une expérience transparente et conviviale."
agreed With,with Terms Of Use & Privacy Policy,con Términos de uso y política de privacidad,مع شروط الاستخدام وسياسة الخصوصية,avec conditions d'utilisation et politique de confidentialité
agree,I have agreed,He acordado,لقد وافقت,j'ai accepté
enter Name,Enter Name,Ingrese su nombre,أدخل الاسم,Entrez le nom
image Path Required,Image path is required,Se requiere la ruta de la imagen,مسار الصورة مطلوب,Le chemin de l'image est requis
your Account Have Been Created,"Your account has been create Successfully, Welcome to stripcard.",Su cuenta se ha creado con éxito. Bienvenido a stripcard.,تم إنشاء حسابك بنجاح، مرحبًا بك في Stripcard.,"Votre compte a été créé avec succès, bienvenue sur stripcard."
view All,View All,Ver todo,عرض الكل,Voir tout
tentwentytwo,10/22,22/10,10/22,22/10
expiry Date,Expiry Date,Fecha de caducidad,تاريخ الانتهاء,Date d'expiration
freeze Card,Freeze Card,Congelar tarjeta,بطاقة التجميد,Geler la carte
availabe Blance,Availabe Balance,Saldo disponible,الرصيد المتاح,Solde disponible
cvc,CVV / CVC,CVV/CVC,CVV/CVC,CVV/CVC
proceed,Proceed,Proceder,يتابع,Procéder
deposit,Deposit,Depósito,إيداع,Dépôt
zero00,0,0,0,0
deposit Method,Deposit Method,Método de depósito,طريقة الإيداع,Méthode de dépôt
entered Amount,Entered Amount,Monto ingresado,المبلغ المدخل,Montant saisi
enter Select City,Enter City,Ingrese la ciudad,أدخل المدينة,Entrez la ville
enter First Name,Enter First Name,Introduzca el nombre,أدخل الاسم الأول,Entrez votre prénom
enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر,Entrer le nom de famille
select City,City,Ciudad,مدينة,Ville
enter,Enter,Ingresar,يدخل,Entrer
enter Old Password,Enter Old Password,Ingrese la contraseña anterior,أدخل كلمة المرور القديمة,Entrez l'ancien mot de passe
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة المرور الجديدة,Entrez un nouveau mot de passe
help Center,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
reset Password Details,Reset your password to get back access your dashboard again.,Restablezca su contraseña para volver a acceder a su panel.,قم بإعادة تعيين كلمة المرور الخاصة بك لتتمكن من الوصول مرة أخرى إلى لوحة التحكم الخاصة بك مرة أخرى.,Réinitialisez votre mot de passe pour accéder à nouveau à votre tableau de bord.
your Password Has Been,"Your password has been reset Successfully, Sign in again now.",Su contraseña se ha restablecido correctamente. Inicie sesión nuevamente ahora.,تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول مرة أخرى الآن.,"Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant."
opps,Opss!!,¡¡Ops!!,أوبس!!,Oups !!
kyc Success Message,Your Kyc has been Submited Successfully,Su Kyc ha sido enviado exitosamente,لقد تم إرسال Kyc الخاص بك بنجاح,Votre Kyc a été soumis avec succès
notification,Notification,Notificación,إشعار,Notification
withdraw,Withdraw,Retirar,ينسحب,Retirer
preview,Preview,Avance,معاينة,Aperçu
amount Information,Amount Information,Información de cantidad,معلومات المبلغ,Informations sur le montant
transfer Fee,Transfer Fee:,Tarifa de transferencia:,رسوم التحويل:,Frais de transfert:
transfer Fees,Transfer Fee,Tarifa de transferencia,رسوم التحويل,Frais de transfert
recipient Received,Recipient Received,Destinatario recibido,تم استلام المستلم,Destinataire reçu
total Payable,Total Payable,Total a pagar,مجموع المستحق الدفع,Total à payer
confirm Send,Confirm Send,Confirmar envío,تأكيد الإرسال,Confirmer l'envoi
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using,Su dinero ha sido retirado con éxito. Gracias por usar,لقد تم سحب أموالك بنجاح. شكرا للاستخدام,Votre argent a été retiré avec succès. Merci d'avoir utilisé
transaction History,Transaction History,Historial de transacciones,تاريخ المعاملات,Historique des transactions
current Amount,Current Amount,Cantidad actual,القيمة الحالية,Montant actuel
card Information,Card Information,Información de la tarjeta,معلومات البطاقة,Informations sur la carte
yes,Yes,Sí,نعم,Oui
no,no,No,لا,Non
your Money Added Succes,Your money has been deposit Successfully. Thanks for using,Su dinero ha sido depositado exitosamente. Gracias por usar,لقد تم إيداع أموالك بنجاح. شكرا للاستخدام,Votre argent a été déposé avec succès. Merci d'avoir utilisé
your Card Success,"Your card has been create Successfully, Thanks for using .",Su tarjeta se ha creado correctamente. Gracias por usarla.,لقد تم إنشاء بطاقتك بنجاح، شكرًا لاستخدامك.,"Votre carte a été créée avec succès, merci d'utiliser ."
add Money Successfully,"Your fund has been add Successfully,Thanks for using",Su fondo se ha agregado correctamente. Gracias por usarlo.,تمت إضافة صندوقك بنجاح، شكرًا لاستخدامك,"Votre fonds a été ajouté avec succès, merci d'avoir utilisé"
plz Enter Amount,Please enter amount,Por favor ingrese la cantidad,الرجاء إدخال المبلغ,Veuillez entrer le montant
no Record Found,No Record Found!,¡Ningún record fue encontrado!,لا يوجد سجلات!,Aucun Enregistrement Trouvé!
pending,Pending,Pendiente,قيد الانتظار,En attente
Verified,Verified,Verificado,تم التحقق,Vérifié
total Fee,Total Fee,Costo total,مجموع الرسوم,Montant total
you Don Not Buy Card,"You didnt purchase any card yet, Please purchase a new card",Aún no compraste ninguna tarjeta. Compra una tarjeta nueva.,لم تقم بشراء أي بطاقة بعد، يرجى شراء بطاقة جديدة,"Vous n'avez encore acheté aucune carte, veuillez en acheter une nouvelle."
currency,Currency,Divisa,عملة,Devise
brand,Brand,Marca,ماركة,Marque
remove Default,Remove Default,Eliminar valor predeterminado,إزالة الافتراضي,Supprimer la valeur par défaut
virtual,Virtual Card,Tarjeta virtual,بطاقة افتراضية,Carte virtuelle
reveal Details,Reveal Details,Revelar detalles,كشف التفاصيل,Révéler les détails
you Can Use Virtual Card Instantly,You can use virtual cards instantly.,Puedes utilizar tarjetas virtuales al instante.,يمكنك استخدام البطاقات الافتراضية على الفور.,Vous pouvez utiliser des cartes virtuelles instantanément.
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال,Transfert d'argent
please Fill The Amount,Please fill the amount,Por favor complete la cantidad,يرجى ملء المبلغ,Veuillez remplir le montant
please Follow The Limit,Please! Follow the Limit.,¡Por favor! Sigue el límite.,لو سمحت! اتبع الحد.,S'il te plaît! Suivez la limite.
receiver Email,Receiver Email,Correo electrónico del destinatario,البريد الإلكتروني المتلقي,E-mail du destinataire
screenshot,Screenshot,Captura de pantalla,لقطة شاشة,Capture d'écran
enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del destinatario,أدخل عنوان البريد الإلكتروني للمستلم,Entrez l'adresse e-mail du destinataire
transfer Success Text,"Your money has been transfer Successfully, Thanks for using StripCard.",Su dinero se ha transferido correctamente. Gracias por utilizar StripCard.,لقد تم تحويل أموالك بنجاح، شكرًا لاستخدامك StripCard.,"Votre argent a été transféré avec succès, merci d'utiliser StripCard."
success Snack,Success,Éxito,نجاح,Succès
dismiss,Dismiss,Despedir,رفض,Rejeter
transfer Money,Transfer Money,Transferir dinero,تحويل أموال,Transférer de l'argent
add Subtract Balance,Add Subtract Balance,Sumar Restar Saldo,إضافة طرح الرصيد,Ajouter un solde soustrait
visa,VISA,VISA,تأشيرة,VISA
my Wallet,My Wallet,Mi billetera,محفظتى,Mon portefeuille
evidence Note,Evidence Note,Nota de evidencia,مذكرة الأدلة,Note sur les preuves
razorpay Payment,Razorpay Payment,Pago de Razorpay,دفع Razorpay,Paiement Razorpay
flutterwave Payment,Flutterwave Payment,Pago de onda fluida,الدفع Flutterwave,Paiement Flutterwave
sslcommerz Payment,Sslcommerz Payment,Pago Sslcommerz,الدفع عبر Sslcommerz,Paiement SSLcommerz
new Password,New Password,Nueva contraseña,كلمة المرور الجديدة,nouveau mot de passe
confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
first Name,First Name,Nombre de pila,الاسم الأول,Prénom
last Name,Last Name,Apellido,اسم العائلة,Nom de famille
make Default,Make Default,Hacer por defecto,جعل الافتراضي,Faire défaut
qrpay Payment,Qrpay Payment,Pago Qrpay,الدفع Qrpay,Paiement Qrpay
change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue
Login Successful,Login Successful,Inicio de sesión correcto,تم تسجيل الدخول بنجاح,Connexion réussie
User doesn't exists,User doesn't exists,El usuario no existe,المستخدم غير موجود,L'utilisateur n'existe pas
Account Has been Suspended,Account Has been Suspended,Cuenta ha sido suspendida,تم تعليق حسابك,Le compte a été suspendu
Incorrect Password,Incorrect Password,Contraseña incorrecta,كلمة سر خاطئة,Mot de passe incorrect
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Inténtalo de nuevo,هناك خطأ ما! حاول مرة اخرى,Quelque chose s'est mal passé ! Veuillez réessayer
Registration Successful,Registration Successful,Registro exitoso,تم التسجيل بنجاح,Inscription réussi
Logout Successful,Logout Successful,Cerrar sesión exitosamente,تم تسجيل الخروج بنجاح,Déconnexion réussie
Verification code sent to your email address,Verification code sent to your email address,Código de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Code de vérification envoyé à votre adresse e-mail
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من Otp غير صالح,La vérification Otp est invalide
"Your verification is successful, Now you can recover your password","Your verification is successful, Now you can recover your password","Tu verificación fue exitosa, ahora puedes recuperar tu contraseña",تم التحقق بنجاح، الآن يمكنك استعادة كلمة المرور الخاصة بك,"Votre vérification est réussie, vous pouvez maintenant récupérer votre mot de passe"
invalid request,invalid request,Solicitud no válida,طلب غير صالح,requête invalide
Add Money Information!,Add Money Information!,¡Agregue información de dinero!,إضافة معلومات المال!,Ajoutez des informations financières !
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione el alias de moneda de la pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع,Les informations sur la passerelle ne sont pas disponibles. Veuillez fournir l'alias de la devise de la passerelle de paiement
User wallet not found,User wallet not found,Cartera de usuario no encontrada,لم يتم العثور على محفظة المستخدم,Portefeuille utilisateur introuvable
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacciones,يرجى اتباع حد المعاملة,Veuillez respecter la limite de transaction
Add Money Inserted Successfully,Add Money Inserted Successfully,Agregue dinero insertado exitosamente,تم إضافة الأموال بنجاح,Ajouter de l'argent inséré avec succès
Transaction failed. Record didn\'t saved properly. Please try again,Transaction failed. Record didn\'t saved properly. Please try again,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo,فشل الاجراء. لم يتم حفظ السجل بشكل صحيح. حاول مرة اخرى,La transaction a échoué. L'enregistrement n'a pas été enregistré correctement. Veuillez réessayer
"Payment successful, please go back your app","Payment successful, please go back your app","Pago exitoso, regrese a su aplicación",تم الدفع بنجاح، يرجى الرجوع إلى تطبيقك,"Paiement réussi, veuillez revenir à votre application"
"Payment Cancelled,please go back your app","Payment Cancelled,please go back your app","Pago cancelado, regrese a su aplicación",تم إلغاء الدفع، يرجى العودة إلى التطبيق الخاص بك,"Paiement annulé, veuillez revenir à votre application"
"Payment Failed,please go back your app","Payment Failed,please go back your app","Pago fallido, regrese a su aplicación",فشل الدفع، يرجى العودة إلى التطبيق الخاص بك,"Échec du paiement, veuillez revenir à votre application"
Request user doesn\'t save properly. Please try again,Request user doesn\'t save properly. Please try again,El usuario solicitado no se guarda correctamente. Inténtalo de nuevo,طلب المستخدم لا يحفظ بشكل صحيح. حاول مرة اخرى,L'utilisateur demandé n'enregistre pas correctement. Veuillez réessayer
You can resend verification code after,You can resend verification code after,Puedes reenviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Vous pouvez renvoyer le code de vérification après
Verification code send success,Verification code send success,El código de verificación se envió correctamente,تم إرسال رمز التحقق بنجاح,Code de vérification envoyé avec succès
Verification code does not match,Verification code does not match,El código de verificación no coincide,رمز التحقق غير متطابق,Le code de vérification ne correspond pas
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. حاول مرة اخرى,La session a expiré. Veuillez réessayer
Account successfully verified,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه (KYC).,Vous êtes déjà un utilisateur vérifié KYC
You are already KYC Verified User,,#REF!,#REF!,#VALUE!
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,#VALUE!,#VALUE!,Vos informations KYC sont soumises. Veuillez attendre la confirmation de l'administrateur
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة,La section KYC de l'utilisateur est en cours de maintenance
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se recuperaron correctamente!,تم جلب حقول إدخال KYC للمستخدم بنجاح!,Les champs de saisie KYC de l'utilisateur sont récupérés avec succès !
Virtual Card Stripe,Virtual Card Stripe,Franja de tarjeta virtual,شريط البطاقة الافتراضية,Bande de carte virtuelle
"Sorry, card not found!","Sorry, card not found!","Lo sentimos, ¡tarjeta no encontrada!",عذرا، لم يتم العثور على البطاقة!,"Désolé, carte introuvable !"
Virtual Card Details,Virtual Card Details,Detalles de la tarjeta virtual,تفاصيل البطاقة الافتراضية,Détails de la carte virtuelle
Virtual Card Transactions,Virtual Card Transactions,Transacciones con tarjeta virtual,معاملات البطاقة الافتراضية,Transactions par carte virtuelle
Something Is Wrong In Your Card,Something Is Wrong In Your Card,Algo anda mal en su tarjeta,هناك خطأ ما في بطاقتك,Quelque chose ne va pas dans votre carte
Virtual Card Sensitive Data,Virtual Card Sensitive Data,Datos confidenciales de la tarjeta virtual,البيانات الحساسة للبطاقة الافتراضية,Données sensibles de la carte virtuelle
"Sorry,This Card Is Already Inactive","Sorry,This Card Is Already Inactive","Lo sentimos, esta tarjeta ya está inactiva",عذرًا، هذه البطاقة غير نشطة بالفعل,"Désolé, cette carte est déjà inactive"
Card Inactive Successfully!,Card Inactive Successfully!,¡Tarjeta inactiva exitosamente!,البطاقة غير نشطة بنجاح!,Carte inactive avec succès !
Card Active Successfully!,Card Active Successfully!,¡Tarjeta activa con éxito!,تم تنشيط البطاقة بنجاح!,Carte active avec succès !
Please submit kyc information!,Please submit kyc information!,¡Por favor envíe información de kyc!,يرجى تقديم معلومات kyc!,Veuillez soumettre les informations kyc !
Please wait before admin approved your kyc information,Please wait before admin approved your kyc information,Espere antes de que el administrador apruebe su información de kyc.,يرجى الانتظار قبل أن يوافق المسؤول على معلومات kyc الخاصة بك,Veuillez patienter avant que l'administrateur n'approuve vos informations kyc
"Admin rejected your kyc information, Please re-submit again","Admin rejected your kyc information, Please re-submit again",El administrador rechazó su información de kyc. Vuelva a enviarla.,رفض المشرف معلومات kyc الخاصة بك، يرجى إعادة الإرسال مرة أخرى,L'administrateur a rejeté vos informations kyc. Veuillez les soumettre à nouveau.
Default Currency Not Setup Yet,Default Currency Not Setup Yet,Moneda predeterminada aún no configurada,العملة الافتراضية لم يتم إعدادها بعد,La devise par défaut n'est pas encore configurée
"Sorry, insufficient balance","Sorry, insufficient balance","Lo sentimos, saldo insuficiente",عذرا، الرصيد غير كاف,"Désolé, solde insuffisant"
Card Buy Successfully,Card Buy Successfully,Compra con tarjeta exitosamente,تم شراء البطاقة بنجاح,Achat de carte réussi
Virtual Card Sudo,Virtual Card Sudo,Sudo de tarjeta virtual,البطاقة الافتراضية سودو,Carte virtuelle Sudo
Fess & Charges,Fess & Charges,Fes y cargos,الرسوم والرسوم,Tarifs et frais
Status Updated Successfully,Status Updated Successfully,Estado actualizado exitosamente,تم تحديث الحالة بنجاح,Statut mis à jour avec succès
"Currency doesn't supported for creating virtual card, Please contact","Currency doesn't supported for creating virtual card, Please contact",La moneda no es compatible para crear una tarjeta virtual. Comuníquese con nosotros.,العملة غير مدعومة لإنشاء بطاقة افتراضية، يرجى الاتصال,"La devise n'est pas prise en charge pour la création de carte virtuelle, veuillez contacter"
"Haven't any debit account this currency, Please contact with owner","Haven't any debit account this currency, Please contact with owner","No tengo ninguna cuenta de débito en esta moneda. Por favor, póngase en contacto con el propietario.",ليس لديك أي حساب خصم بهذه العملة، يرجى الاتصال بالمالك,Je n'ai pas de compte débiteur dans cette devise. Veuillez contacter le propriétaire.
"Customer doesn't created properly,Contact with owner","Customer doesn't created properly,Contact with owner",El cliente no se creó correctamente. Contacte con el propietario.,لم يتم إنشاء العميل بشكل صحيح، اتصل بالمالك,"Le client n'a pas créé correctement, contactez le propriétaire"
Virtual Card Flutterwave,Virtual Card Flutterwave,Tarjeta virtual Flutterwave,البطاقة الافتراضية Flutterwave,Carte virtuelle Flutterwave
Card block successfully!,Card block successfully!,¡Bloqueo de tarjeta exitoso!,تم حظر البطاقة بنجاح!,Blocage de carte réussi !
Card has been blocked previously,Card has been blocked previously,La tarjeta ha sido bloqueada anteriormente,لقد تم حظر البطاقة سابقاً,La carte a déjà été bloquée
This Card has been terminated previously,This Card has been terminated previously,Esta Tarjeta ha sido cancelada anteriormente,تم إنهاء هذه البطاقة سابقًا,Cette carte a déjà été résiliée
Card unblock successfully!,Card unblock successfully!,¡Desbloqueo de tarjeta exitoso!,تم إلغاء حظر البطاقة بنجاح!,Carte débloquée avec succès !
Card has been unblocked previously,Card has been unblocked previously,La tarjeta ha sido desbloqueada anteriormente.,تم إلغاء حظر البطاقة سابقًا,La carte a déjà été débloquée
Card Funded Successfully,Card Funded Successfully,Tarjeta financiada exitosamente,تم تمويل البطاقة بنجاح,Carte financée avec succès
Buy Card,Buy Card,Comprar Tarjeta,شراء البطاقة,Acheter une carte
Buy card successful,Buy card successful,Compra tarjeta exitosa,تم شراء البطاقة بنجاح,Achat de la carte réussi
Card Fund,Card Fund,Fondo de tarjeta,صندوق البطاقة,Fonds de carte
Card fund successful card:,Card fund successful card:,Fondo de tarjeta tarjeta exitosa:,بطاقة صندوق البطاقة الناجحة:,Carte avec succès du fonds de la carte :
Transfer Money Information,Transfer Money Information,Transferir información de dinero,معلومات تحويل الأموال,Transférer des informations sur l'argent
User not found,User not found,Usuario no encontrado,لم يتم العثور على المستخدم,Utilisateur non trouvé
Can\'t transfer money to your own,Can\'t transfer money to your own,No puedo transferir dinero a tu cuenta,لا يمكن تحويل الأموال إلى حسابك,Impossible de transférer de l'argent sur le vôtre
Valid user for transfer money,Valid user for transfer money,Usuario válido para transferir dinero,مستخدم صالح لتحويل الأموال,Utilisateur valide pour transférer de l'argent
Sender wallet not found,Sender wallet not found,Cartera del remitente no encontrada,لم يتم العثور على محفظة المرسل,Portefeuille de l'expéditeur introuvable
Receiver not exist,Receiver not exist,El receptor no existe,المتلقي غير موجود,Le récepteur n'existe pas
Receiver wallet not found,Receiver wallet not found,Cartera del receptor no encontrada,لم يتم العثور على محفظة المتلقي,Portefeuille du destinataire introuvable
Transfer Money successful to,Transfer Money successful to,Transferir dinero exitosamente a,تم تحويل الأموال بنجاح إلى,Transfert d'argent réussi vers
Transfer Money to,Transfer Money to,Transferir dinero a,تحويل الأموال إلى,Transférer de l'argent vers
Transfer Money from,Transfer Money from,Transferir dinero desde,تحويل الأموال من,Transférer de l'argent depuis
User Dashboard,User Dashboard,Panel de usuario,لوحة تحكم المستخدم,Tableau de bord utilisateur
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم,Profil de l'utilisateur
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!,Profil mis à jour avec succès !
Current password didn\'t match,Current password didn\'t match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة,Le mot de passe actuel ne correspond pas
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !
User deleted successfully,User deleted successfully,Usuario eliminado exitosamente,تم حذف المستخدم بنجاح,Utilisateur supprimé avec succès
All Transactions,All Transactions,Todas las transacciones,كل الحركات المالية,toutes transactions
Withdraw Information!,Withdraw Information!,¡Retirar información!,سحب المعلومات!,Retirez les informations !
Invalid Gateway!,Invalid Gateway!,¡Puerta de enlace no válida!,بوابة غير صالحة!,Passerelle invalide !
Withdraw Money Inserted Successfully,Withdraw Money Inserted Successfully,Retirar dinero ingresado exitosamente,تم سحب الأموال التي تم إدخالها بنجاح,Retirer l'argent inséré avec succès
"Sorry, your payment information is invalid","Sorry, your payment information is invalid","Lo sentimos, tu información de pago no es válida.",عذرًا، معلومات الدفع الخاصة بك غير صالحة,"Désolé, vos informations de paiement ne sont pas valides"
"Invalid request, it is not manual gateway request","Invalid request, it is not manual gateway request","Solicitud no válida, no es una solicitud de puerta de enlace manual",طلب غير صالح، فهو ليس طلب بوابة يدوياً,"Demande invalide, il ne s'agit pas d'une demande de passerelle manuelle"
Withdraw Money Request Send To Admin Successful,Withdraw Money Request Send To Admin Successful,Solicitud de retiro de dinero enviada al administrador exitosamente,تم إرسال طلب سحب الأموال إلى المشرف بنجاح,Demande de retrait d'argent envoyée à l'administrateur avec succès
Your Withdraw Request Send To Admin,Your Withdraw Request Send To Admin,Su solicitud de retiro Enviar al administrador,أرسل طلب السحب الخاص بك إلى المشرف,Votre demande de retrait envoyée à l'administrateur
Successful,Successful,Exitoso,ناجح,Réussi
Data fetched successfully,Data fetched successfully,Datos obtenidos correctamente,تم جلب البيانات بنجاح,Données récupérées avec succès
Language Data Fetch Successfully!,Language Data Fetch Successfully!,¡Obtención de datos de idioma exitosamente!,تم جلب بيانات اللغة بنجاح!,Récupération des données linguistiques avec succès !
Payment gateway not available,Payment gateway not available,Pasarela de pago no disponible,بوابة الدفع غير متوفرة,Passerelle de paiement non disponible
Your Wallet,Your Wallet,Tu billetera,محفظتك,Ton portefeuille
balance  has been added,balance has been added,se ha agregado saldo,تمت إضافة الرصيد,le solde a été ajouté
Successfully added money,Successfully added money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح,Argent ajouté avec succès
Manual Payment Via,Manual Payment Via,Pago manual mediante,الدفع يدوي عبر,Paiement manuel via
Add money cancelled,Add money cancelled,Agregar dinero cancelado,تم إلغاء إضافة الأموال,Ajouter de l'argent annulé
Transaction failed,Transaction failed,Transacción fallida,فشل الاجراء,La transaction a échoué
Your Payment Canceled Successfully,Your Payment Canceled Successfully,Su pago cancelado exitosamente,تم إلغاء دفعتك بنجاح,Votre paiement annulé avec succès
Add Money request send to admin successfully,Add Money request send to admin successfully,Agregar solicitud de dinero enviada al administrador con éxito,تم إرسال طلب إضافة أموال إلى المشرف بنجاح,La demande d'ajout d'argent a été envoyée à l'administrateur avec succès
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Jeton de réinitialisation du mot de passe expiré
Verify User,Verify User,Verificar usuario,التحقق من المستخدم,Vérifier l'utilisateur
Request token is invalid,Request token is invalid,El token de solicitud no es válido,رمز الطلب غير صالح,Le jeton de demande n'est pas valide
Invalid Request. Please try again,Invalid Request. Please try again,Solicitud no válida. Inténtalo de nuevo,طلب غير صالح. حاول مرة اخرى,Requête invalide. Veuillez réessayer
Password reset success. Please login with new password,Password reset success. Please login with new password,Restablecimiento de contraseña exitoso. Por favor inicie sesión con nueva contraseña,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة,Réinitialisation réussie du mot de passe. Veuillez vous connecter avec un nouveau mot de passe
User Login,User Login,Inicio de sesión de usuario,تسجيل دخول المستخدم,Utilisateur en ligne
Mail Authorization,Mail Authorization,Autorización de correo,ترخيص البريد,Autorisation de courrier
Verification  code resend success,Verification code resend success,Reenvío del código de verificación exitoso,تمت إعادة إرسال رمز التحقق بنجاح,Code de vérification renvoyé avec succès
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح,Informations KYC soumises avec succès
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة,Ajouter un nouveau billet
Opps! Failed to upload attachment. Please try again.,Opps! Failed to upload attachment. Please try again.,¡Ups! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.,انتبه! فشل تحميل المرفق. حاول مرة اخرى.,Oups ! Échec du téléchargement de la pièce jointe. Veuillez réessayer.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de soporte creado exitosamente!,تم إنشاء تذكرة الدعم بنجاح!,Ticket d'assistance créé avec succès !
Support Conversation,Support Conversation,Conversación de apoyo,دعم المحادثة,Conversation d'assistance
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.,Ce ticket de support est fermé.
SMS Sending faild! Please try again.,SMS Sending faild! Please try again.,¡Error en el envío de SMS! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.,L'envoi du SMS a échoué ! Veuillez réessayer.
Withdraw Via,Withdraw Via,Retirar vía,السحب عن طريق,Retirer via
Cookie allow successfully,Cookie allow successfully,Cookie permitida exitosamente,تم السماح بملف تعريف الارتباط بنجاح,Cookie autorisé avec succès
Cookie decline successfully,Cookie decline successfully,Rechazo de cookies exitoso,تم رفض ملف تعريف الارتباط بنجاح,Refus des cookies avec succès
Can't change anything for demo application.,Can't change anything for demo application.,No se puede cambiar nada para la aplicación de demostración.,لا يمكن تغيير أي شيء للتطبيق التجريبي.,Je ne peux rien changer pour l'application de démonstration.
"Sorry, You are unauthorized user","Sorry, You are unauthorized user","Lo sentimos, eres un usuario no autorizado",عذرا، أنت مستخدم غير مصرح به,"Désolé, vous êtes un utilisateur non autorisé"
Please verify your KYC information before any transactional action,Please verify your KYC information before any transactional action,Verifique su información KYC antes de cualquier acción transaccional,يرجى التحقق من معلومات KYC الخاصة بك قبل أي إجراء معاملة,Veuillez vérifier vos informations KYC avant toute action transactionnelle
Your KYC information is pending. Please wait for admin confirmation.,Your KYC information is pending. Please wait for admin confirmation.,Su información KYC está pendiente. Espere la confirmación del administrador.,معلومات KYC الخاصة بك في انتظار المراجعة. الرجاء الانتظار لتأكيد المشرف.,Vos informations KYC sont en attente. Veuillez attendre la confirmation de l'administrateur.
Account Is Deactivated,Account Is Deactivated,La cuenta está desactivada,تم تعطيل الحساب,Le compte est désactivé
Email verification is required,Email verification is required,Se requiere verificación por correo electrónico,التحقق من البريد الإلكتروني مطلوب,La vérification de l'e-mail est requise
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Por favor verifique su dirección de correo. Revisa tu bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التحقق,Veuillez vérifier votre adresse e-mail. Vérifiez votre boîte de réception pour obtenir le code de vérification
